"17-06-2015";"Near Prime";"617053";"1";"NT";"Application";"Application";"White";"424000"
"17-06-2015";"Near Prime";"617054";"1";"WA";"Application";"Application";"Pepper";"331000"
"17-06-2015";"Near Prime";"617056";"1";"NT";"Application";"Application";"Direct";"405000"
"17-06-2015";"Near Prime";"617058";"1";"VIC";"Application";"Application";"Pepper";"412250"
"17-06-2015";"Near Prime";"617062";"1";"WA";"Application";"Application";"White";"531000"
"17-06-2015";"Near Prime";"617067";"1";"NSW";"Application";"Application";"Direct";"84000"
"17-06-2015";"Near Prime";"617068";"1";"ACT";"Application";"Application";"White";"483750"
"17-06-2015";"Near Prime";"617073";"2";"NSW";"Application";"Application";"Pepper";"400000"
"17-06-2015";"Near Prime";"617081";"1";"QLD";"Application";"Application";"Pepper";"270000"
"17-06-2015";"Prime";"617033";"1";"NSW";"Application";"Application";"Pepper";"400000"
"17-06-2015";"Prime";"617042";"1";"TAS";"Application";"Application";"Direct";"188000"
"17-06-2015";"Prime";"617046";"1";"SA";"Application";"Application";"Pepper";"360000"
"17-06-2015";"Prime";"617060";"2";"QLD";"Application";"Application";"White";"420000"
"17-06-2015";"Prime";"617061";"1";"VIC";"Application";"Application";"Direct";"403750"
"17-06-2015";"Prime";"617071";"1";"NSW";"Application";"Application";"Pepper";"448000"
"17-06-2015";"Prime";"617077";"1";"NSW";"Application";"Application";"White";"1740000"
"17-06-2015";"Specialist";"617041";"1";"WA";"Application";"Application";"Pepper";"336000"
"17-06-2015";"Specialist";"617045";"1";"SA";"Application";"Application";"White";"183750"
"17-06-2015";"Specialist";"617048";"1";"VIC";"Application";"Application";"White";"440000"
"17-06-2015";"Specialist";"617051";"1";"QLD";"Application";"Application";"Pepper";"303000"
"17-06-2015";"Specialist";"617063";"2";"WA";"Application";"Application";"Pepper";"376000"
"17-06-2015";"Specialist";"617064";"1";"VIC";"Application";"Application";"Pepper";"428000"
"17-06-2015";"Specialist";"617069";"1";"NSW";"Application";"Application";"White";"330000"
"17-06-2015";"Specialist";"617070";"2";"SA";"Application";"Application";"White";"360000"
"17-06-2015";"Specialist";"617072";"1";"NSW";"Application";"Application";"Pepper";"640000"
"17-06-2015";"Specialist";"617074";"1";"WA";"Application";"Application";"White";"402000"
"18-06-2015";"Near Prime";"617089";"1";"QLD";"Application";"Application";"Pepper";"230000"
"18-06-2015";"Near Prime";"617090";"1";"SA";"Application";"Application";"Direct";"319735"
"18-06-2015";"Near Prime";"617096";"1";"NSW";"Application";"Application";"White";"150000"
"18-06-2015";"Near Prime";"617098";"1";"NSW";"Application";"Application";"Pepper";"416500"
"18-06-2015";"Near Prime";"617099";"1";"WA";"Application";"Application";"White";"160000"
"18-06-2015";"Near Prime";"617100";"3";"NSW";"Application";"Application";"White";"1202500"
"18-06-2015";"Near Prime";"617102";"1";"NSW";"Application";"Application";"Pepper";"294000"
"18-06-2015";"Near Prime";"617103";"2";"NSW";"Application";"Application";"White";"1000000"
"18-06-2015";"Near Prime";"617104";"1";"VIC";"Application";"Application";"White";"340000"
"18-06-2015";"Near Prime";"617105";"2";"NSW";"Application";"Application";"White";"736017"
"18-06-2015";"Near Prime";"617108";"1";"NSW";"Application";"Application";"White";"464000"
"18-06-2015";"Near Prime";"617109";"1";"QLD";"Application";"Application";"White";"396000"
"18-06-2015";"Near Prime";"617120";"1";"NSW";"Application";"Application";"White";"260000"
"18-06-2015";"Near Prime";"617122";"1";"NSW";"Application";"Application";"Pepper";"291000"
"18-06-2015";"Near Prime";"617123";"1";"QLD";"Application";"Application";"Pepper";"360000"
"18-06-2015";"Near Prime";"617124";"2";"NSW";"Application";"Application";"Direct";"1620000"
"18-06-2015";"Near Prime";"617125";"1";"WA";"Application";"Application";"Pepper";"399200"
"18-06-2015";"Near Prime";"617129";"1";"NSW";"Application";"Application";"Pepper";"600000"
"18-06-2015";"Near Prime";"617130";"2";"NSW";"Application";"Application";"Pepper";"517000"
"18-06-2015";"Prime";"617091";"1";"NSW";"Application";"Application";"White";"382500"
"18-06-2015";"Prime";"617092";"1";"VIC";"Application";"Application";"White";"318250"
"18-06-2015";"Prime";"617101";"1";"NSW";"Application";"Application";"Pepper";"800000"
"18-06-2015";"Prime";"617106";"1";"QLD";"Application";"Application";"White";"272650"
"18-06-2015";"Prime";"617111";"1";"VIC";"Application";"Application";"Pepper";"318000"
"18-06-2015";"Prime";"617112";"1";"NSW";"Application";"Application";"White";"840000"
"18-06-2015";"Prime";"617113";"1";"SA";"Application";"Application";"White";"405000"
"18-06-2015";"Prime";"617114";"1";"WA";"Application";"Application";"White";"479000"
"18-06-2015";"Prime";"617115";"1";"NSW";"Application";"Application";"Pepper";"156000"
